respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
19446,1040,3,4,3,2,8,98,96,96,96
19472,1040,7,3,4,2,10,98,96,96,96
19513,1040,5,3,2,0,8,0,96,96,96
19515,1040,10,0,5,3,10,98,96,96,96
19517,1040,98,98,98,98,10,98,96,96,96
19575,1040,5,5,2,2,7,5,96,96,96
19622,1040,7,4,5,1,9,2,96,96,96
19662,1040,7,3,5,2,10,98,96,96,96
19720,1040,3,1,0,0,7,0,96,96,96
19729,1040,4,0,10,0,10,7,96,96,96
19739,1040,6,3,5,1,7,1,96,96,96
19772,1040,9,4,7,3,10,0,96,96,96
19787,1040,6,0,0,0,10,0,96,96,96
19812,1040,8,5,0,2,10,2,96,96,96
19816,1040,6,4,5,4,8,6,96,96,96
19847,1040,9,3,5,4,10,2,96,96,96
19870,1040,5,0,3,2,10,5,96,96,96
19926,1040,6,4,4,1,9,1,96,96,96
19949,1040,8,4,5,4,10,2,96,96,96
19957,1040,10,4,6,4,10,4,96,96,96
19963,1040,7,0,5,0,9,4,96,96,96
